name,score,reviewNum,price,link
서귀포 마녀의언덕펜션(리뉴얼),5.0,36.0,125000.0,/pension/1000100762
제주 바닷가앞28평펜션,2.8,19.0,250000.0,/pension/1000100762
서귀포 제이앤비가족호텔,4.7,27.0,70000.0,/pension/1000100762
제주 올레민박펜션,5.0,6.0,,/pension/1000100762
제주 우도애기해녀펜션,5.0,23.0,100000.0,/pension/1000100762
서귀포 순즈플레이스펜션,4.8,5.0,200000.0,/pension/1000100762
서귀포 풀스테이소랑제펜션,4.2,16.0,306000.0,/pension/1000100762
제주 하이커호텔펜션,3.5,10.0,30000.0,/pension/1000100762
제주 하니크라운호텔펜션,4.3,6.0,46000.0,/pension/1000100762
제주 아랑존펜션,5.0,18.0,50000.0,/pension/1000100762
서귀포 솔바람풍경소리독채펜션,5.0,4.0,73000.0,/pension/1000100762
제주 까르마풀빌라,4.3,33.0,260000.0,/pension/1000100762
서귀포 갯그시펜션,4.8,5.0,50000.0,/pension/1000100762
제주 우림호텔펜션,4.2,9.0,45000.0,/pension/1000100762
"제주 동화키즈풀빌라(신축,45평 복층 독채)",4.0,10.0,390000.0,/pension/1000100762
제주 디스빌라691스파펜션,4.9,113.0,126000.0,/pension/1000100762
서귀포 스테이리포소펜션,5.0,14.0,,/pension/1000100762
제주 카멜리아캐슬펜션,5.0,4.0,,/pension/1000100762
"제주 하얀별펜션(★낭만뷰특가,구엄리염전)",4.4,182.0,40000.0,/pension/1000100762
서귀포 마루호스텔,4.5,5.0,,/pension/1000100762
제주 온담하우스펜션(한라산전망),4.5,5.0,59900.0,/pension/1000100762
제주 하이하도풀빌라,5.0,5.0,360000.0,/pension/1000100762
제주 귀덕온담펜션,4.5,14.0,65000.0,/pension/1000100762
제주 미스미스터펜션(독채히노끼탕유료),4.9,145.0,160000.0,/pension/1000100762
서귀포 조이하우스펜션,4.5,4.0,69000.0,/pension/1000100762
서귀포 제이뷰호텔펜션,5.0,7.0,,/pension/1000100762
서귀포 위미애머물다펜션,3.3,7.0,130000.0,/pension/1000100762
제주 가라월라펜션,5.0,4.0,280000.0,/pension/1000100762
제주 엘로망펜션,3.9,22.0,35900.0,/pension/1000100762
제주 미담하우스펜션,5.0,4.0,200000.0,/pension/1000100762
서귀포 오름집펜션,4.7,6.0,66000.0,/pension/1000100762
제주 쉼127키즈펜션협재점,5.0,20.0,160000.0,/pension/1000100762
제주 드라마2015풀빌라리조트,4.7,36.0,,/pension/1000100762
제주 달빛고운펜션,4.8,165.0,50000.0,/pension/1000100762
서귀포 외돌개나라펜션,5.0,7.0,50000.0,/pension/1000100762
제주 이지코지펜션,5.0,3.0,180000.0,/pension/1000100762
제주 작은별펜션,5.0,4.0,,/pension/1000100762
서귀포 물댄동산통나무펜션,5.0,2.0,90000.0,/pension/1000100762
제주 코지펜션,4.7,110.0,75000.0,/pension/1000100762
서귀포 제이큐브펜션,3.8,6.0,51000.0,/pension/1000100762
제주 길리리조트,5.0,67.0,180000.0,/pension/1000100762
제주 블루엘스파&풀펜션,4.8,88.0,129000.0,/pension/1000100762
제주 어느멋진날풀빌라(23년신축),5.0,19.0,,/pension/1000100762
제주 소담향펜션,5.0,5.0,350000.0,/pension/1000100762
서귀포 오앤비팜스테이펜션(12월 요금할인 이벤트),5.0,3.0,,/pension/1000100762
서귀포 가문유메펜션,4.3,5.0,200000.0,/pension/1000100762
서귀포 마린포트리조트,4.6,119.0,89010.0,/pension/1000100762
제주 아쿠아뷰티크풀빌라(월정리),4.5,128.0,,/pension/1000100762
제주 애월바다향기펜션,4.5,123.0,35000.0,/pension/1000100762
제주 아마빌레펜션,4.4,104.0,69000.0,/pension/1000100762
제주 미아독채풀빌라,4.8,49.0,339000.0,/pension/1000100762
서귀포 바산올레애견동반펜션,3.7,6.0,79000.0,/pension/1000100762
"제주 바다,비펜션",5.0,3.0,,/pension/1000100762
제주 협제주스테이펜션,5.0,3.0,,/pension/1000100762
제주 셉템버미니펜션,5.0,4.0,70000.0,/pension/1000100762
제주 에메랄드호텔에이스펜션,4.5,4.0,40000.0,/pension/1000100762
제주 그섬에펜션,4.8,85.0,100000.0,/pension/1000100762
"제주 도두다펜션(공항근처,빔프로젝터)",4.9,152.0,77000.0,/pension/1000100762
서귀포 해비치풍경펜션,4.0,5.0,75000.0,/pension/1000100762
제주 해조대 펜션,4.6,104.0,68000.0,/pension/1000100762
서귀포 우주스테이펜션,5.0,5.0,,/pension/1000100762
"제주 월정씨하루(신축,편백나무탕)",4.8,369.0,109000.0,/pension/1000100762
서귀포 위플레이펜션,5.0,7.0,,/pension/1000100762
서귀포 모이라펜션,4.7,540.0,69000.0,/pension/1000100762
서귀포 돌고래하우스펜션,5.0,29.0,60000.0,/pension/1000100762
제주 제주리조트,4.7,21.0,66500.0,/pension/1000100762
"제주 작약꽃펜션(곽지해변,스파)",4.7,21.0,146000.0,/pension/1000100762
제주 레브하우스펜션,4.0,4.0,130000.0,/pension/1000100762
제주 갬성드애월펜션,5.0,23.0,130000.0,/pension/1000100762
제주 선샤인협재펜션,5.0,2.0,310000.0,/pension/1000100762
서귀포 요셉하우스펜션,4.8,24.0,,/pension/1000100762
서귀포 제주엔펜션,4.3,3.0,80000.0,/pension/1000100762
제주 자레와펜션,4.4,61.0,,/pension/1000100762
서귀포 다빈하우스,3.0,6.0,100000.0,/pension/1000100762
제주 마레풀빌라,5.0,3.0,300000.0,/pension/1000100762
"서귀포 JB풀빌라(사계점,키즈,독채)",4.6,42.0,,/pension/1000100762
서귀포 코코풀빌라,4.3,76.0,102500.0,/pension/1000100762
서귀포 제이라움펜션,4.9,134.0,100000.0,/pension/1000100762
제주 델마펜션,4.8,13.0,90000.0,/pension/1000100762
제주 산티아고풀빌라(신축),4.8,19.0,231000.0,/pension/1000100762
서귀포 동백바다펜션,4.9,34.0,90000.0,/pension/1000100762
서귀포 표선카라반,3.0,8.0,,/pension/1000100762
제주 달스테이펜션,5.0,31.0,100000.0,/pension/1000100762
"제주 오시록독채펜션(사계절바베큐,애견동반)",5.0,2.0,180000.0,/pension/1000100762
서귀포 두두리펜션,5.0,64.0,80000.0,/pension/1000100762
서귀포 성산파라다이스힐펜션,4.8,12.0,69000.0,/pension/1000100762
서귀포 한라앤탐펜션,3.0,19.0,,/pension/1000100762
"제주 W699펜션(신축,조식제공)",4.7,257.0,137000.0,/pension/1000100762
제주 애월브릭하우스펜션,5.0,22.0,,/pension/1000100762
제주 달자펜션,4.8,53.0,140000.0,/pension/1000100762
제주 더휴풀빌라,4.9,70.0,550000.0,/pension/1000100762
제주 이그니스무인텔(취사불가),4.0,4.0,,/pension/1000100762
제주 협재클레르드륀펜션,5.0,19.0,160000.0,/pension/1000100762
제주 보리독채펜션,5.0,2.0,,/pension/1000100762
제주 하얀고래별장펜션,5.0,20.0,270000.0,/pension/1000100762
제주 엘쯔타운독채펜션,5.0,2.0,89000.0,/pension/1000100762
"서귀포 제주트윈스펜션(독채,단체,가족)",4.6,31.0,,/pension/1000100762
제주 홍스랜드펜션,4.4,150.0,89000.0,/pension/1000100762
서귀포 제이브루더 풀빌라 (22년신축 ),4.8,25.0,158000.0,/pension/1000100762
제주 달빛명월펜션,4.7,11.0,104300.0,/pension/1000100762
제주 씨에코펜션,5.0,27.0,52900.0,/pension/1000100762
제주 토끼섬힐링하우스펜션,4.5,3.0,180000.0,/pension/1000100762
제주 하도리움펜션,5.0,10.0,300000.0,/pension/1000100762
제주 비자림빌리지펜션,5.0,2.0,295000.0,/pension/1000100762
서귀포 해리안호텔,5.0,29.0,,/pension/1000100762
제주 오름펜션,4.0,27.0,61200.0,/pension/1000100762
제주 해품달독채펜션,5.0,7.0,171000.0,/pension/1000100762
제주 e하우스 펜션,5.0,16.0,50000.0,/pension/1000100762
제주 인더뷰풀빌라,5.0,12.0,,/pension/1000100762
서귀포 대평올레펜션,5.0,2.0,79000.0,/pension/1000100762
제주 노루마당펜션,5.0,2.0,145600.0,/pension/1000100762
"제주 보롬코지펜션(전객실오션뷰,신축)",4.6,381.0,114000.0,/pension/1000100762
서귀포 제주가원펜션,5.0,2.0,62000.0,/pension/1000100762
제주 협재블리스펜션,4.9,192.0,130000.0,/pension/1000100762
제주 유에프오펜션,4.0,3.0,50000.0,/pension/1000100762
서귀포 올레돔펜션(바베큐행사),4.7,143.0,59000.0,/pension/1000100762
제주 인트로펜션,5.0,2.0,,/pension/1000100762
서귀포 블랑블루펜션,4.6,100.0,79000.0,/pension/1000100762
제주 선흘안풀빌라(넓은평수 감성숙소),4.9,15.0,240000.0,/pension/1000100762
"제주 경복민박펜션(노천자쿠지, 노천족욕탕)",5.0,8.0,220000.0,/pension/1000100762
서귀포 제주스카이힐펜션,4.6,19.0,55000.0,/pension/1000100762
제주 더문독채풀빌라,5.0,2.0,550000.0,/pension/1000100762
서귀포 은빌레펜션,4.5,4.0,,/pension/1000100762
서귀포 바라크라펜션,5.0,1.0,100000.0,/pension/1000100762
서귀포 캠파제주펜션(마운틴뷰),3.0,5.0,50000.0,/pension/1000100762
서귀포 푸르미르펜션,5.0,16.0,39000.0,/pension/1000100762
제주 가까이에파도소리펜션,4.5,28.0,,/pension/1000100762
제주 해밀리조트,2.7,7.0,45000.0,/pension/1000100762
서귀포 하루호텔펜션,4.5,2.0,,/pension/1000100762
서귀포 성산포사랑펜션,5.0,2.0,65000.0,/pension/1000100762
제주 어반트리펜션,4.7,38.0,76300.0,/pension/1000100762
제주 팜힐스펜션,5.0,4.0,70000.0,/pension/1000100762
서귀포 푸른제주펜션,4.8,45.0,60000.0,/pension/1000100762
제주 풀스토리풀빌라,4.9,44.0,240000.0,/pension/1000100762
제주 종달리수국집펜션,5.0,16.0,,/pension/1000100762
